1번      145
2번      132
3번      128
4번      137
5번      128
6번      128
7번      133
8번      132
9번      102
10번     137
11번     134
12번     139
13번     139
14번     132
15번     130
16번     127
17번     139
18번     129
19번     127
20번     140
21번     131
22번     101
23번     111
24번     132
25번     125
26번     130
27번     148
28번     111
29번     112
30번     120
31번     133
32번     112
33번     138
34번     145
35번     122
36번     126
37번     133
38번     125
39번     129
40번     137
41번     114
42번     122
43번     147
44번     126
45번     128
